Наименование адресной единицы
"Малый Черкасский переулок "
"3-я Черкизовская улица "
"Большая Черкизовская улица "
"Малая Черкизовская улица "
"Чермянская улица "
"Чермянский проезд "
"Черневская улица "
"Черниговский переулок "
"Черницынский проезд "
"2-я Черногрязская улица "
"Чёрное Озеро улица"
"Черноморский бульвар "
"Чернышевского переулок"
"Чернышевского улица (г.Зеленоград)"
"Черняховского улица"
"Черского проезд"
"Северное Чертаново "
"Чертановская улица "
"Чертольский переулок "
"Чесменская улица "
"Четырехдомный переулок "
"Чехова улица"
"Чечёрский проезд "
"Чечулина улица"
"Чешихинский проезд "
"Чистова улица"
"Чистопольская улица "
"Чистопрудный бульвар "
"Чистый переулок "
"Чичерина улица"
"Чкалова улица"
"Чкалова улица (пос.Толстопальцево)"
"7-я Чоботовская аллея "
"Чоботовская улица "
"11-я Чоботовская аллея "
"10-я Чоботовская аллея "
"8-я Чоботовская аллея "
"6-я Чоботовская аллея "
"5-я Чоботовская аллея "
"4-я Чоботовская аллея "
"3-я Чоботовская аллея "
"2-я Чоботовская аллея "
"1-я Чоботовская аллея "
"9-я Чоботовская аллея "
"Чоботовский проезд "
"Чонгарский бульвар "
"Чугунные Ворота улица"
"Большой Чудов переулок "
"Маршала Чуйкова улица"
"Чукотский проезд "
"Чуксин тупик "
"Чусовская улица "
"Шаболовка улица"
"Шарикоподшипниковская улица "
"Шатурская улица "
"Шведский тупик "
"Шверника улица"
"Шебашёвский переулок "
"Шебашёвский проезд "
"набережная Тараса Шевченко "
"Шелапутинский переулок "
"1-я улица Шелепихи "
"Шелепихинская набережная "
"Шелепихинский тупик "
"Шелепихинское шоссе "
"Шенкурский проезд "
"Шеногина улица"
"Шепелюгинская улица "
"Шепелюгинский переулок "
"Шереметьевская улица "
"Шереметьевское шоссе "
"1-й Шибаевский переулок "
"Шипиловская улица "
"Шипиловский проезд "
"Широкая улица "
"Широкий проезд "
"Ширшова улица"
"Ширяево Поле улица"
"Большая Ширяевская улица "
"Малая Ширяевская улица "
"2-й Ширяевский переулок "
"набережная Шитова "
"Шишкина улица"
"Школьная улица (Крюково)"
"Школьная улица "
"Школьная улица (пос.Малино)"
"Шкулёва улица"
"Шломина проезд"
"Шлюзовая набережная "
"посёлок Шлюзы "
"Шмидта улица"
"Шмитовский проезд "
"Шокальского проезд"
"Шолохова улица"
"Шоссейная улица "
"Шоссейная улица (дер.Захарьино)"
"Штурвальная улица "
"Штурманская улица "
"Шубинский переулок"
"Шувалова улица"
"Шумилова улица"
"Шумкина улица"
"Степана Шутова улица"
"Шухова улица"
"Шушенская улица "
"Щёлковский проезд "
"Щёлковское шоссе "
"2-й Щемиловский переулок "
"1-й Щемиловский переулок "
"Щепкина улица"
"Щербаковская улица "
"Щербинская улица "
"Щетининский переулок "
"Щибровская улица "
"2-й Щипковский переулок "
"4-й Щипковский переулок "
"1-й Щипковский переулок "
"Щипок улица"
"Щорса улица"
"Щукинская улица "
"3-й Щукинский проезд "
"Сергея Эйзенштейна улица"
"Элеваторная улица "
"Элеваторный переулок "
"Электрический переулок "
"Электродная улица "
"Электродный переулок "
"Электродный проезд "
"Электрозаводская улица "
"1-й Электрозаводский переулок "
"2-й Электрозаводский переулок "
"Электролитный проезд "
"Эльдорадовский переулок "
"Фридриха Энгельса улица"
"Энергетическая улица "
"Энергетический проезд "
"1-я улица Энтузиастов "
"2-я улица Энтузиастов "
"бульвар Энтузиастов "
"Энтузиастов шоссе"
"Энтузиастов проезд"
"Югорский проезд "
"Южнобутовская улица "
"Южнопортовая улица "
"1-й Южнопортовый проезд "
"2-й Южнопортовый проезд "
"Южный проезд "
"Юннатов улица"
"Юности (г.Зеленоград) улица"
"Юности улица"
"Юности площадь"
"Юных Ленинцев улица"
"Юрловский проезд "
"Юровская улица "
"Юрьевская улица "
"Юрьевский переулок "
"Большая Юшуньская улица "
"Малая Юшуньская улица "
"Яблоневая аллея "
"Яблонный переулок "
"Яблочкова улица"
"Ягодная улица "
"Языковский переулок "
"Большая Якиманка улица"
"Малая Якиманка улица"
"Якиманская набережная "
"Якиманский переулок "
"Якиманский проезд "
"Яковоапостольский переулок "
"Якорная улица "
"Якушкина проезд"
"Ялтинская улица "
"2-я Ямская улица "
"1-я Ямская улица "
"1-я улица Ямского Поля "
"3-я улица Ямского Поля "
"5-я улица Ямского Поля "
"Академика Янгеля улица"
"Янтарный проезд "
"Ярославская улица "
"Ярославское шоссе "
"Ярцевская улица "
"Ясеневая улица "
"Ясногорская улица "
"Яснополянская улица "
"Ясный проезд "
"Яузская аллея "
"Яузская улица "
"Яузские Ворота площадь"
"Яузский бульвар "
"Яхромская улица "
"Яхромский проезд "
