Наименование адресной единицы
"4-я Кабельная улица "
"5-я Кабельная улица "
"1-я Кабельная улица "
"1-й Кабельный проезд "
"2-й Кабельный проезд "
"Амилкара Кабрала площадь"
"Кавказский бульвар "
"Кадашёвская набережная "
"Кадашёвский тупик "
"1-й Кадашёвский переулок "
"2-й Кадашёвский переулок "
"3-й Кадашёвский переулок "
"Кадомцева проезд"
"Кадырова улица"
"Казакова улица"
"2-й Казанский просек "
"1-й Казанский просек "
"Казанский переулок "
"Казарменный переулок "
"1-й Казачий переулок "
"2-й Казачий переулок "
"Малый Казённый переулок "
"Большой Казённый переулок "
"Малый Каковинский переулок "
"Каланчёвская улица "
"Каланчёвский тупик "
"Калашный переулок "
"Калибровская улица "
"Большая Калитниковская улица "
"Малая Калитниковская улица "
"Средняя Калитниковская улица "
"Большой Калитниковский проезд "
"Малый Калитниковский проезд "
"Калмыков переулок "
"Калошин переулок "
"Малая Калужская улица "
"Калужская площадь "
"Малый Калужский переулок "
"Каманина улица"
"Каменная Слобода переулок"
"Большие Каменщики улица"
"Малые Каменщики улица"
"Камергерский переулок "
"Камова улица"
"Камчатская улица "
"Канатчиковский проезд "
"Кантемировская улица "
"Капельский переулок "
"Академика Капицы улица"
"1-й Капотнинский проезд "
"1-й квартал Капотня "
"2-й квартал Капотня "
"3-й квартал Капотня "
"4-й квартал Капотня "
"5-й квартал Капотня "
"Капранова переулок"
"Карамзина проезд"
"Карамышевская набережная "
"Карамышевский проезд "
"1-я Карачаровская улица "
"Карачаровская улица "
"3-я Карачаровская улица "
"2-я Карачаровская улица "
"2-й Карачаровский проезд "
"1-й Карачаровский проезд "
"Карачаровское шоссе "
"бульвар Генерала Карбышева "
"Каргопольская улица "
"Карелин проезд "
"Карельский бульвар "
"Средний Каретный переулок "
"Большой Каретный переулок "
"Малый Каретный переулок "
"Каретный Ряд улица"
"Карманицкий переулок "
"2-я Карпатская улица "
"1-я Карпатская улица "
"Карьер улица"
"Карьерная улица "
"Касаткина улица"
"Касимовская улица "
"Каскадная улица "
"Каспийская улица "
"Кастанаевская улица "
"Маршала Катукова улица"
"Каховка улица"
"Качалинская улица"
"Наташи Качуевской улица"
"Кашёнкин Луг улица"
"Каширский проезд "
"Каширское шоссе "
"1-я Квесисская улица "
"2-я Квесисская улица "
"Кедрова улица"
"Академика Келдыша площадь"
"Керамический проезд "
"Керченская улица "
"Кетчерская улица "
"Кибальчича улица"
"Киевская улица "
"Киевского Вокзала площадь"
"Киевское шоссе "
"Мартина Лютера Кинга площадь"
"Кипренского улица"
"Кирова проезд"
"Кировоградская улица "
"Кировоградский проезд "
"Кирпичная улица "
"Кирпичные Выемки улица"
"1-й Кирпичный переулок "
"3-й Кирпичный переулок "
"Нижний Кисельный переулок "
"Кисельный тупик "
"Малый Кисельный переулок "
"Большой Кисельный переулок "
"Малый Кисловский переулок "
"Нижний Кисловский переулок "
"Средний Кисловский переулок "
"Большой Кисловский переулок "
"Китайгородский проезд "
"Кленовый бульвар "
"Климашкина улица"
"Климентовский переулок "
"Клинская улица "
"Клинский проезд "
"Клочкова улица"
"Ключевая улица "
"Клязьминская улица "
"Княжекозловский переулок "
"Княжеская улица "
"Княжнина улица"
"Софьи Ковалевской улица"
"Ковров переулок "
"Наташи Ковшовой улица"
"Ковылинский переулок "
"Викторио Кодовильи площадь"
"Кожевническая улица "
"4-й Кожевнический переулок "
"Кожевнический проезд "
"2-й Кожевнический переулок "
"1-й Кожевнический переулок "
"Кожевнический Вражек улица"
"Маршала Кожедуба улица"
"Василисы Кожиной улица"
"5-я Кожуховская улица "
"6-я Кожуховская улица "
"7-я Кожуховская улица "
"1-й Кожуховский проезд "
"2-й Кожуховский проезд "
"3-й Кожуховский проезд "
"Большой Козихинский переулок "
"Малый Козихинский переулок "
"Козицкий переулок "
"Козлова улица "
"Большой Козловский переулок "
"Малый Козловский переулок "
"Коккинаки улица"
"Коктебельская улица "
"Коленчатый переулок "
"Елены Колесовой улица"
"Коллективный проезд "
"1-й Колобовский переулок "
"2-й Колобовский переулок "
"3-й Колобовский переулок "
"Колодезная улица "
"Колодезный переулок "
"Колокольников переулок "
"Коломенская набережная "
"Коломенская улица "
"Коломенский проезд "
"Коломенское шоссе "
"Колпачный переулок "
"Колпинская улица "
"Колумба площадь"
"Колхозная улица "
"Колымажный переулок "
"Кольская улица "
"Академика Комарова улица"
"Космонавта Комарова площадь"
"Коминтерна улица"
"Комиссариатский переулок "
"Коммунарская улица "
"Большая Коммунистическая улица "
"Малая Коммунистическая улица "
"Коммунистическая улица "
"Коммунистический переулок "
"Композиторская улица "
"Комсомольская площадь "
"Комсомольская улица "
"Комсомольская улица (г.Зеленоград)"
"Комсомольский проспект "
"Комсомольской Площади проезд"
"Конаковский проезд "
"Средний Кондратьевский переулок "
"Большой Кондратьевский переулок "
"Кондратюка улица"
"Кондрашёвский тупик "
"Маршала Конева улица"
"Конёнкова улица"
"Конный переулок "
