**Buildings_Street|**Buildings_HouseNum|**Buildings_HouseNumPart|**Table_Documents_BildNum1|**Buildings_LiteraNum|Window~Key|**Buildings_Postal_Iindex|**Table_Documents_AppartNum1|**Buildings_Corn_street|**Buildings_Corn_House|**Buildings_ConstructionNum
"Каретный Ряд улица"|"3"||"7"||3696|||||
"Яузская улица"|"6"||"1"||3697|||||
"Токмаков переулок"|"23"||||3698|||||
"Токмаков переулок"|"21"|"/2"|"1, 2, 5"||3699|||||
"Сретенский бульвар"|"6"|"/1"|"2"||3700|||||
"Большая Никитская улица"|"5"||||3701|||||
"Абельмановская улица"|"3-5"||"2"||3702|||||
"Петровский переулок"|"5"||"5"||3703|||||
"Средний Кисловский переулок"|"5"|"/6"|"2"||3704|||||
"Чагинская улица"|"14"||"1"||3705|||||
"Ветошный переулок"|"13"|"-15"|||3706|||||
"4-й Рощинский проезд"|"30"||"8, 9, 10"||3707|||||
"Замоскворецкий суд"|||||3708|||||
"Большая Спасская улица"|"1"|"/9"|"1"||3709|||||
"Каланчёвская улица"|"21"|"/40"|||3710|||||
"Верхняя Радищевская улица"|"18"||"2"||3711|||||
"Тверская улица"|"7"||||3712|||||
"Садовническая улица"|"45"||||3713|||||
"1-й Котельнический переулок"|"3"||"1"||3714|||||
"Колпачный переулок"|"10"|"/7"|"3, 4"||3715|||||
"Пречистенка улица"|"32"|"/1"|"2, 7"||3716|||||
"городок имени Баумана"|"1"||"15"||3717|||||
"Измайловское шоссе"|"4"||||3718|||||
"Таганская площадь"|"86"|"/1"|"1"||3719|||||
"Сурикова улица"|"13"||||3720|||||
"Вознесенский переулок"|"9"||"4"||3721|||||
"Маршала Новикова улица"|"3"||||3722|||||
"2-й Новокузнецкий переулок"|"10"|"/1"|"2"||3723|||||
"Ленинские горы"|"1"||||3724|||||
"Волхонка улица"|"8-10"|"/2"|"10, 8"||3725|||||
"Тверская улица"|"6"|"/2"|"2"||3726|||||
"Щепкина улица"|"22"||||3727|||||
"Большая Никитская улица"|"26"|"/2"|"1, 2, 3"||3728|||||
"Березовой рощи проезд"|"3"||||3729|||||
"Большая Якиманка улица"|"вл. 2"|"-4"|||3730|||||
"Подсосенский переулок"|"25"||"3"||3731|||||
"Воронцово Поле улица"|"13"|"/25"|"1, 2"||3732|||||
"Сергия Радонежского улица"|"1"|"/2"|"1"||3733|||||
"Врубеля улица"|"13"|"а"|"1-5, 6"||3734|||||
"Новинский бульвар"|"25"||"1"||3735|||||
"Лазоревый проезд"|"15"||"1"||3736|||||
"Большой Козихинский переулок"|"13, 15"||||3737|||||
"Парк ""Кузьминки-Люблино"""|||||3738|||||
"Новослободская улица"|"14"|"/19"|"1"||3739|||||
"Крымский тупик"|"10"||"1"||3740|||||
"Нижняя Радищевская улица"|"5"||"1"||3741|||||
"Вятская улица"|"41"|"а"|||3742|||||
"Большая Ордынка улица; Кадашевский тупик"|||||3743|||||
"Русаковская улица"|"13"||"3"||3744|||||
"Садовническая улица; Зацепа улица - контракт"|||||3745|||||
"Забелина улица"|"3"||"2"||3746|||||
"Николоямская улица"|"53"||"1, 2, 3"||3747|||||
"Кремлевская набережная"|"1"|"/9/6"|"8"||3748|||||
"Столешников переулок"|"6"||"1, 2, 5"||3749|||||
"Фрунзенская набережная"|"18"||"Д"||3750|||||
"Сурикова улица"|"24"||||3751|||||
"Бахрушина улица"|"30"||"1"||3752|||||
"Панфилова улица"|"6"|"Б"|||3753|||||
"Красноказарменная улица"|"3"||"1"||3754|||||
"Старая Басманная улица"|"20"|"кор. 13"|"1"||3755|||||
"Верещагина улица"|"3"||||3756|||||
"Столешников переулок"|"7"||"1"||3757|||||
"Малая Дмитровка улица"|"16"||"13"||3758|||||
"Мира проспект"|"9"||"1"||3759|||||
"Андроньевская площадь"|"6"||"1"||3760|||||
"Поленова улица"|"8"|"/1"|||3761|||||
"Софийская набережная"|"30"||"2"||3762|||||
"Большая Садовая улица"|"4"||"2"||3763|||||
"Старая Басманная улица"|"19"||"13, 16"||3764|||||
"Сивцев Вражек переулок"|"42"||"5"||3765|||||
"Большая Якиманка улица"|"вл.3"||||3766|||||
"Вильгельма Пика улица"|"вл. 3"||"1-8"||3767|||||
"Хлебный переулок"|"6"||||3768|||||
"Чистопрудный бульвар"|"14"||"3"||3769|||||
"Чистопрудный бульвар"|"2"|||"кв.33"|3770|||||
"Оружейный переулок"|"15"||"1"||3771|||||
"Саломеи Нерис улица"|"4"||"2, 3"||3772|||||
"Тверской бульвар"|"18"||"1"||3773|||||
"3-й Зачатьевский переулок"|"3"||||3774|||||
"Подсосенский переулок"|"11"||||3775|||||
"Малый Песчаный переулок"|"2"|"а"|||3776|||||
"Тверской бульвар"|"17"||"7- 8"||3777|||||
"Крымский тупик"|"6"||||3778|||||
"Адрес не указан"|||||3779|||||
"Золотой остров"|||||3780|||||
"Сухаревская площадь"|"10"|"/31"|"2"||3781|||||
"Новокузнецкая улица"|"40"||"1"||3782|||||
"Воздвиженка улица"|"8"|"/1"|"1"||3783|||||
"Измайловский районный суд"|||||3784|||||
"Калошин переулок"|"2"|"/24"|"1-2"||3785|||||
"Песчаная улица"|"10"||||3786|||||
"Олсуфьевский переулок"|"6"||"3"||3787|||||
"Потаповский переулок"|"6"||"1"||3788|||||
"Череповецкая улица (парк Лионозово)"|"3"|"Б"|||3789|||||
"Замоскворецкий суд"|||||3790|||||
"Загорского проезд"|"23"||||3791|||||
"Ленинский проспект"|"26"||||3792|||||
"Чистопрудный бульвар"|"1а"|"/4"|||3793|||||
"2-й Донской проезд"|"9"||"3"||3794|||||
"Петроверигский переулок"|"6-8-10"||"1"||3795|||||
"Воронцовская улица"|"19а"||"1"||3796|||||
"Мира проспект"|"119"||"452"||3797|||||
"Казакова улица"|"7"||||3798|||||
"Старая Басманная улица"|"16"|"/1Б"|"8"||3799|||||
"Летняя улица"|"8"|"/2"|"1"||3800|||||
"Кривоколенный переулок"|"10"||"2"||3801|||||
"2-я Бауманская улица"|"3"||||3802|||||
"Мира проспект"|"1"||||3803|||||
"Зорге улица"|"30"|"А"|||3804|||||
"Староконюшенный переулок"|"41"||"1"||3805|||||
"Волочаевская улица"|"12"|"А"|||3806|||||
"Ленинский проспект"|"28"||"1"||3807|||||
"7-я Лазенки улица"|"42"||||3808|||||
"Кутузовский проспект"|"12"||||3809|||||
"Лаврушинский переулок"|"17"||"1"||3810|||||
"Малый Лёвшинский переулок"|"14"|"/9"|"1"||3811|||||
"Лукинская улица"|"11"||||3812|||||
"Пятницкая улица"|"10"||"2"||3813|||||
"Бахрушина улица"|"11"|"/48"|"2"||3814|||||
"Поликарпова улица"|"16"||||3815|||||
"Преображенский Вал улица"|"24"||"2,4,5"||3816|||||
"Солянка улица"|"7"||"1"||3817|||||
"Гороховский переулок"|"6"|"/1"|"1"||3818|||||
"Поленова улица"|"16"||||3819|||||
"Трубная улица"|"23"||||3820|||||
"Дмитровское шоссе"|"120"||"корп.1, стр. 1"||3821|||||
"Новоясеневский проспект"|"вл.42"||"9"||3822|||||
"Софийская набережная"|"18/8"|"стр.1 вл.20"|"1"||3823|||||
"Новослободская улица"|"39"||"2"||3824|||||
"Михалковская улица"|"42"||||3825|||||
"Журавлева улица"|"6"||"1"||3826|||||
"Средний Овчинниковский переулок"|"1"||"4"||3827|||||
"Адрес не указан (Хорошевский суд)"|||||3828|||||
"Электрозаводская улица"|"20"||"1,2"||3829|||||
"Страстной бульвар (сквер)"|||||3830|||||
"Каланчёвская улица"|"15"||"А"||3831|||||
"Большая Сухаревская площадь"|"1"|"/2"|"1"||3832|||||
"Ярославская улица"|"9"|"корп.2"|"5"||3833|||||
"Большой Предтеченский переулок"|"вл. 3"|"-5"|||3834|||||
"Скатертный переулок"|"5"||"1"||3835|||||
"Волхонка улица"|"9"||"1"||3836|||||
"Новогорская улица"|"70"||||3837|||||
"Адрес не указан (АС Московской области)"|||||3838|||||
"Адрес не указан (Тверской суд)"|||||3839|||||
"Софийская набережная"|"22"||"2"||3840|||||
"Пятницкая улица"|"36"||||3841|||||
"Знаменка улица"|"11"|"/11"|"1"||3842|||||
"Сивцев Вражек переулок"|"15"|"/25"|"кв.132, кв.161"||3843|||||
"Тверская улица"|"18"|"/2"|||3844|||||
"Покровка улица"|"29"||"1"||3845|||||
"Большая Дмитровка улица"|"5"|"/6"|"3"||3846|||||
"Никитский бульвар"|"12"||||3847|||||
"Дербеневская улица"|"24"||"6"||3848|||||
"Лесная улица"|"1"|"/2"|||3849|||||
"Адрес не указан (Арбитр.суд)"|||||3850|||||
"Адрес не указан (Чертановский суд)"|||||3851|||||
"1-й Хвостов переулок"|"11"||"1"||3852|||||
"Старые Кузьминки"|"11"||||3853|||||
"Ленинградский проспект"|"16"||"2"||3854|||||
"Адрес не указан (Коптевский районный суд)"|||||3855|||||
"Летняя улица"|"вл. 7"||||3856|||||
"Адрес не указан (Коптевский районный суд)"|||||3857|||||
"Профсоюзная улица"|"123"|"А"|"15"||3858|||||
"Большой Трёхсвятительский переулок"|"1"|"-3"|"1"||3859|||||
"Малый Казённый переулок"|"5"||" 2 (3 ?)"||3860|||||
"Маршала Малиновского улица"|"вл. 7"||||3861|||||
"Петровско-Разумовский проезд"|"вл. 24"||"корп. 17"||3862|||||
"Остоженка улица"|"17"|"/4"|||3863|||||
"Петровский переулок"|"8"||"1"||3864|||||
"Покровка улица"|"3"|"/7"|"1А"||3865|||||
"2-я Тверская-Ямская улица"|"36"|"/2"|"1"||3866|||||
"Адрес не указан (Симоновский суд)"|||||3867|||||
"2-я Брестская улица"|"19"|"/18"|"1"||3868|||||
"Новая Басманная улица"|"9"||"1"||3869|||||
